path,total_conversions,total_conversion_value,total_null
Paid Search > Paid Search > Paid Search > Paid Search,2,3.195,6
Paid Social > Paid Search > Paid Social > Paid Social > Paid Social > Paid Search > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social,2,6.754,6
Display > Push Notifications,1,2.402,3
Paid Search > Push Notifications > Email > Videos > Videos > Email > Videos,0,0,2
Paid Social > Push Notifications > Paid Social > Paid Social > Push Notifications > Paid Search > Paid Search > Paid Search > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Email > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social > Paid Social,1,5.044,3
Paid Search > Display > Push Notifications > Display > Push Notifications,0,0,2
Display > Paid Search > Internal Campaign,1,6.82,2
Push Notifications,1,3.3,3
Paid Search > Paid Search > Display,1,2.6,3
Paid Search > Paid Search > Paid Search,10,30.73461538,38
Display > Push Notifications,1,3.492,3
Paid Search > Paid Social > Paid Search > Paid Search > Paid Search > Paid Search > Paid Social > Paid Social > Paid Social > Paid Search,1,2.9,3
Push Notifications,3,11.286,9
Paid Search > Paid Search > Email > Email > Push Notifications,1,7.099,3
Display > Paid Social > Paid Social > Push Notifications,1,2.045,2
Paid Social > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Push Notifications,1,3.75,2
Email > Email > Paid Social > Paid Social > Paid Social > Email > Email > Paid Social > Email,1,2.258,2
Paid Search > Paid Search > Push Notifications,1,2.157,2
Videos > Videos > SMS > Email > Paid Social,1,5.33,2
Videos > Paid Social > Videos > Paid Social > Affiliate > Videos,1,2.464,3
Email > Videos > Videos > Email > Paid Social > Videos > Email > Paid Social > Paid Social > Videos > Email > Videos > Videos > Videos > Email > Videos,0,0,2
Paid Search > Email > Email,1,2.6985,6
Push Notifications > Push Notifications > Push Notifications,1,3.442,2
Paid Search > Push Notifications > Paid Social > Paid Social,0,0,3
Display > SMS > SMS > Display,1,0.865,3
Push Notifications > Email > Paid Social > Videos,1,4.23,3
Push Notifications > Videos > Videos,2,3.639,5
Email > Push Notifications > Email > Paid Social,1,1.376,2
Display > Push Notifications > Display > Push Notifications > Display > Push Notifications > Display > Push Notifications,1,3.342,3
Paid Search > SMS > Paid Social > Push Notifications > Push Notifications > Paid Social > Paid Social > Paid Social > Push Notifications > Paid Social > Paid Social,1,2.75,2
Display > Paid Search > Paid Social > Paid Social > Paid Social,1,1.237,3
Display,44,78.14168421,169
Push Notifications,1,3.752,2
Paid Search > SMS > Affiliate > Paid Social > Push Notifications > Push Notifications > Push Notifications > Push Notifications,1,0.1,2
Display > Paid Search > Push Notifications > Paid Social > Paid Social,0,0,2
Display > Display > Push Notifications > Display > Display,1,1.635,2
Paid Search > Paid Search > Paid Search > Push Notifications > Paid Search > Affiliate > Paid Search > Push Notifications > Push Notifications,1,2.4,3
Display > Push Notifications,1,3.4,2
Push Notifications > Email,1,2.895,2
Display > Videos,1,3.7,3
Push Notifications,1,1.9,3
Paid Search > Paid Search > Paid Search > Display > Push Notifications > Display,1,6.05,2
Display > Push Notifications > Display > Display > Display > Push Notifications > Display > Display > Push Notifications,1,5.065,3
Direct Mail > Paid Search > Direct Mail > Paid Social,1,2.13,2
Email > Display > Display > Display > Display > Email,1,1.2,2
Videos > SMS > Paid Social > Videos > Videos > Videos > Videos,1,3.4,2
Paid Search > Display > Push Notifications,0,0,3
Display > Display > Push Notifications > Display > Paid Search,1,2.03,3
Display > Push Notifications > Display > Display > Push Notifications,1,2.539,2
Paid Social > Paid Social > Paid Social > SMS > Email,1,4.5,3
Paid Search > Paid Search > Display > Paid Search > Paid Search > Paid Search > Paid Search > Paid Search > Email > Email > Email > Email,0,0,3
Push Notifications > Push Notifications,1,3.56,3
